transaction date,district,transaction type,land shifting total area,num_building,num_land,num_garage,total floor number,building state,main building materials,complete year,building shifting total area,num_room,num_bathroom,compartment,management org,carpark type,carpark shifting area,carpark total price,main building area,subsidiary building area,balcony area,elevator,total ntd,unit ntd
2020-01-02,Beitou District,Land+Building+Garage,21.16,2,2,1,7.0,Apartment_5to10storey,Reinforced Concrete,69.0,116.83999999999999,3,2,1,1,Ramp Plane,0.0,0,95.88,0.0,7.94,1,10000000,85587
2020-01-02,Datong District,Land+Building,12.0,1,1,0,2.0,House,,33.0,17.46,0,0,0,0,No carpark,0.0,0,17.46,0.0,0.0,0,2553800,146266
2020-01-02,Wenshan District,Land+Building+Garage,35.61,1,1,1,14.0,Apartment_11storeyorgreater,Reinforced Concrete,99.0,180.18,3,2,1,1,Ramp Plane,0.0,0,96.26,0.0,11.11,1,24500000,135975
2020-01-02,Zhongshan District,Land+Building,9.5,1,1,0,4.0,Apartment_5storey,Strengthened Brickwork,56.0,23.38,1,1,1,0,No carpark,0.0,0,20.01,3.36,0.0,0,2300000,98375
2020-01-02,Xinyi District,Land+Building,1.8,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,,15.77,2,1,1,0,No carpark,0.0,0,5.98,0.1,0.56,1,2200000,139505
2020-01-01,Beitou District,Land+Building+Garage,29.12,1,1,1,9.0,Apartment_5to10storey,Reinforced Concrete,94.0,182.36,4,2,1,1,Lifting Machinery,29.74,0,92.15,6.97,9.5,1,20700000,113512
2020-01-02,Nangang District,,0.84,0,0,1,15.0,Other,Reinforced Concrete,97.0,15.02,0,0,1,1,Ramp Machinery,0.0,1550000,0.0,0.0,0.0,0,1550000,
2020-01-02,Songshan District,,0.48,0,0,1,17.0,Other,Reinforced Concrete,88.0,40.11,0,0,1,1,Ramp Plane,40.04,2630000,0.0,0.0,0.0,0,2630000,
2020-01-04,Zhongshan District,,0.74,0,0,3,13.0,Other,Reinforced Concrete,96.0,19.95,0,0,1,1,Lifting Plane,19.95,1824000,0.0,0.0,0.0,0,1824000,
2020-01-03,Xinyi District,Land+Building,4.0,1,1,0,4.0,Apartment_5storey,Strengthened Brickwork,58.0,10.12,2,1,1,0,No carpark,0.0,0,10.12,0.0,0.0,0,2200000,217391
